date,areaType,areaCode,areaName,newCasesByPublishDate,newDeaths28DaysByPublishDate
20/12/2020,utla,E06000051,Shropshire,47,1
09/07/2020,utla,E10000018,Leicestershire,11,0
08/07/2020,utla,E10000018,Leicestershire,24,0
07/07/2020,utla,E10000018,Leicestershire,20,0
19/12/2020,utla,E06000051,Shropshire,41,1
06/07/2020,utla,E10000018,Leicestershire,7,0
18/12/2020,utla,E06000051,Shropshire,27,0
27/01/2021,utla,E08000014,Sefton,161,13
17/12/2020,utla,E06000051,Shropshire,44,1
05/07/2020,utla,E10000018,Leicestershire,13,0
04/07/2020,utla,E10000018,Leicestershire,12,0
03/07/2020,utla,E10000018,Leicestershire,20,0
02/07/2020,utla,E10000018,Leicestershire,24,0
01/07/2020,utla,E10000018,Leicestershire,1499,0
30/06/2020,utla,E10000018,Leicestershire,0,0
16/12/2020,utla,E06000051,Shropshire,61,2
15/08/2020,utla,E06000007,Warrington,0,0
15/12/2020,utla,E06000051,Shropshire,35,4
29/06/2020,utla,E10000018,Leicestershire,3,0
28/06/2020,utla,E10000018,Leicestershire,1,0
27/06/2020,utla,E10000018,Leicestershire,2,0
14/12/2020,utla,E06000051,Shropshire,30,1
14/08/2020,utla,E06000007,Warrington,7,0
13/08/2020,utla,E06000007,Warrington,0,0
12/08/2020,utla,E06000007,Warrington,2,0
26/06/2020,utla,E10000018,Leicestershire,6,0
11/08/2020,utla,E06000007,Warrington,10,0
10/08/2020,utla,E06000007,Warrington,5,0
09/08/2020,utla,E06000007,Warrington,7,0
08/08/2020,utla,E06000007,Warrington,4,0
13/12/2020,utla,E06000051,Shropshire,48,0
26/01/2021,utla,E08000014,Sefton,135,8
12/12/2020,utla,E06000051,Shropshire,47,1
11/12/2020,utla,E06000051,Shropshire,51,3
25/01/2021,utla,E08000014,Sefton,157,0
10/12/2020,utla,E06000051,Shropshire,52,4
24/01/2021,utla,E08000014,Sefton,161,5
09/12/2020,utla,E06000051,Shropshire,41,1
23/01/2021,utla,E08000014,Sefton,214,13
08/12/2020,utla,E06000051,Shropshire,35,1
07/12/2020,utla,E06000051,Shropshire,36,2
25/06/2020,utla,E10000018,Leicestershire,5,0
06/12/2020,utla,E06000051,Shropshire,31,0
05/12/2020,utla,E06000051,Shropshire,29,1
04/12/2020,utla,E06000051,Shropshire,36,3
03/12/2020,utla,E06000051,Shropshire,41,0
02/12/2020,utla,E06000051,Shropshire,31,1
22/01/2021,utla,E08000014,Sefton,271,10
01/12/2020,utla,E06000051,Shropshire,23,4
30/11/2020,utla,E06000051,Shropshire,33,2
24/06/2020,utla,E10000018,Leicestershire,1,0
23/06/2020,utla,E10000018,Leicestershire,4,0
22/06/2020,utla,E10000018,Leicestershire,2,0
21/01/2021,utla,E08000014,Sefton,203,10
21/06/2020,utla,E10000018,Leicestershire,3,0
20/06/2020,utla,E10000018,Leicestershire,4,0
20/01/2021,utla,E08000014,Sefton,281,8
19/01/2021,utla,E08000014,Sefton,214,2
29/11/2020,utla,E06000051,Shropshire,27,1
28/11/2020,utla,E06000051,Shropshire,36,4
27/11/2020,utla,E06000051,Shropshire,52,4
26/11/2020,utla,E06000051,Shropshire,84,0
18/01/2021,utla,E08000014,Sefton,238,4
17/01/2021,utla,E08000014,Sefton,233,2
16/01/2021,utla,E08000014,Sefton,254,4
15/01/2021,utla,E08000014,Sefton,388,3
19/06/2020,utla,E10000018,Leicestershire,8,0
18/06/2020,utla,E10000018,Leicestershire,5,0
17/06/2020,utla,E10000018,Leicestershire,1,0
16/06/2020,utla,E10000018,Leicestershire,2,0
15/06/2020,utla,E10000018,Leicestershire,5,0
07/08/2020,utla,E06000007,Warrington,2,0
14/06/2020,utla,E10000018,Leicestershire,7,0
06/08/2020,utla,E06000007,Warrington,7,0
13/06/2020,utla,E10000018,Leicestershire,7,0
12/06/2020,utla,E10000018,Leicestershire,1,0
11/06/2020,utla,E10000018,Leicestershire,5,0
10/06/2020,utla,E10000018,Leicestershire,1,0
25/11/2020,utla,E06000051,Shropshire,104,3
24/11/2020,utla,E06000051,Shropshire,36,1
05/08/2020,utla,E06000007,Warrington,0,0
